City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
466,Vardo,NO,70.3705,31.1107,44.35,90,100,7.34,overcast clouds
467,Shubarkuduk,KZ,49.1447,56.4872,43.07,79,31,6.62,scattered clouds
468,Kaitangata,NZ,-46.2817,169.8464,54.09,73,100,4.61,light rain
469,Oshikango,NA,-17.4,15.8833,75.06,11,0,12.57,clear sky
470,Posse,BR,-14.0931,-46.3694,85.44,31,96,5.41,light rain
471,Lusambo,CD,-4.9667,23.45,74.34,74,81,3.42,broken clouds
472,Petrivka,UA,46.9695,30.9591,43.25,48,1,8.01,clear sky
473,Rodrigues Alves,BR,-7.738,-72.6509,83.39,63,76,2.08,broken clouds
474,Berdigestyakh,RU,62.0989,126.6992,33.1,80,95,11.34,overcast clouds
475,Belaya Gora,RU,68.5333,146.4167,21.31,69,100,3.36,overcast clouds
476,Mizusawa,JP,39.1333,141.1333,68.32,80,22,5.23,few clouds
477,Boa Vista,BR,2.8197,-60.6733,84.18,70,75,4.61,broken clouds
478,Kaka,TM,37.3482,59.6143,47.39,30,6,4.81,clear sky
479,Barreiras,BR,-12.1528,-44.99,89.64,26,78,4.68,broken clouds
480,Quchan,IR,37.106,58.5095,37.63,41,4,4.65,clear sky
481,Sao Felix Do Xingu,BR,-6.6447,-51.995,82.45,55,100,2.21,overcast clouds
482,Chake Chake,TZ,-5.2459,39.7666,74.77,85,45,8.05,scattered clouds
483,Fallon,US,39.4735,-118.7774,69.28,22,20,4.61,few clouds
484,Mogok,MM,22.9167,96.5,65.08,99,58,1.28,broken clouds
485,Tuatapere,NZ,-46.1333,167.6833,47.82,96,100,4.12,light rain
486,Sept-Iles,CA,50.2001,-66.3821,50.05,88,82,2.66,broken clouds
487,Shakawe,BW,-18.3667,21.85,73.08,10,0,11.05,clear sky
488,Launceston,AU,-41.45,147.1667,52.81,60,3,5.01,clear sky
489,Banda Aceh,ID,5.5577,95.3222,79.27,77,44,13.65,scattered clouds
490,Mackay,AU,-21.15,149.2,81.68,57,26,5.61,scattered clouds
491,Ornskoldsvik,SE,63.2909,18.7153,49.82,100,90,11.5,overcast clouds
492,Sembe,CG,1.6481,14.5806,69.42,99,98,1.74,overcast clouds
493,Andenes,NO,69.3143,16.1194,46.08,81,90,0.0,overcast clouds
494,Batemans Bay,AU,-35.7167,150.1833,59.2,60,100,7.58,overcast clouds
495,Ifo,NG,6.8144,3.1958,75.58,92,99,3.87,light rain
496,Dicabisagan,PH,17.0818,122.4157,76.93,90,100,12.39,moderate rain
497,Tessalit,ML,20.1986,1.0114,84.97,11,94,7.67,overcast clouds
498,Acarau,BR,-2.8856,-40.12,79.56,76,7,18.68,clear sky
499,Puerto Escondido,MX,15.85,-97.0667,86.83,58,40,8.05,scattered clouds
500,Nevesinje,BA,43.2586,18.1133,40.06,95,100,7.87,overcast clouds
501,Sambava,MG,-14.2667,50.1667,67.05,83,28,8.39,scattered clouds
502,Hidalgo,MX,20.5,-99.0,75.94,51,18,9.42,few clouds
503,San Carlos,VE,9.6612,-68.5827,76.06,91,69,1.72,broken clouds
504,Sanchez,DO,19.2281,-69.6137,82.18,74,40,9.22,scattered clouds
505,Balabac,PH,7.9868,117.0645,80.04,84,100,14.14,moderate rain
506,Palmas,BR,-10.2128,-48.3603,85.87,62,0,3.44,clear sky
507,Sangar,RU,63.9242,127.4739,33.49,99,100,5.57,light snow
508,Svobodnyy,RU,51.4,128.1333,36.99,80,8,10.51,clear sky
509,Nyurba,RU,63.2842,118.3319,29.84,92,100,13.42,light snow
510,Karakol,KG,42.4907,78.3936,33.44,97,100,2.68,snow
511,Ribeira Brava,PT,32.65,-17.0667,72.23,72,19,4.21,few clouds
512,Goderich,CA,43.7501,-81.7165,66.2,83,99,21.25,overcast clouds
513,Meadow Lake,US,34.8014,-106.5436,68.72,20,4,20.31,clear sky
514,Tonaya,MX,19.7833,-103.9667,82.83,71,43,4.09,scattered clouds
515,Touros,BR,-5.1989,-35.4608,81.5,76,29,14.45,scattered clouds
516,Trincomalee,LK,8.5711,81.2335,80.92,77,98,19.93,overcast clouds
517,Nokha,IN,27.6,73.4167,81.61,52,0,11.65,clear sky
518,Tsogni,GA,-2.7942,10.0988,74.86,85,100,2.86,overcast clouds
519,Nouakchott,MR,18.0858,-15.9785,80.53,67,0,19.46,clear sky
520,Jizan,SA,17.3333,42.6667,87.04,70,20,3.76,few clouds
521,Lokosovo,RU,61.1333,74.8167,27.95,69,28,6.69,scattered clouds
522,Kampene,CD,-3.6,26.6667,67.26,98,96,2.26,overcast clouds
523,Hanna,CA,51.6334,-111.9018,45.14,51,86,17.36,overcast clouds
524,Ghanzi,BW,-21.5667,21.7833,65.05,30,0,14.09,clear sky
525,Fayaoue,NC,-20.65,166.5333,74.32,63,35,14.94,scattered clouds
526,Vic,ES,41.9301,2.2549,60.17,93,37,2.66,scattered clouds
527,Benghazi,LY,32.1167,20.0667,78.48,57,13,8.46,few clouds
528,Xichang,CN,27.8964,102.2634,58.06,91,56,2.62,broken clouds
529,Serenje,ZM,-13.2325,30.2352,72.36,29,10,13.67,clear sky
530,Tignere,CM,7.3667,12.65,65.05,92,100,1.19,overcast clouds
531,Thaba-Tseka,LS,-29.522,28.6084,47.75,60,0,4.09,clear sky
532,Pottsville,US,40.6857,-76.1955,64.58,96,100,6.6,overcast clouds
533,La Rochelle,FR,46.1667,-1.15,53.67,82,0,8.05,clear sky
534,Sorong,ID,-0.8833,131.25,79.2,85,100,7.27,overcast clouds
535,Segezha,RU,63.7415,34.3222,50.59,88,100,12.86,light rain
536,Nelson Bay,AU,-32.7167,152.15,58.75,96,100,1.99,light rain
537,Gizo,SB,-8.103,156.8419,83.55,74,80,7.56,broken clouds
538,Springdale,US,36.1867,-94.1288,82.13,52,40,17.0,scattered clouds
539,Kota Kinabalu,MY,5.9749,116.0724,80.58,89,20,3.44,few clouds
540,Xingcheng,CN,40.6167,120.7167,50.29,50,0,6.46,clear sky
541,Coxim,BR,-18.5067,-54.76,72.21,88,84,12.91,broken clouds
