City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
302,Madang,PG,78.6,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
303,Pangai,TO,75.79,overcast clouds,-19.8,-174.35,Ha'apai Beach Resort
305,Kailua,US,84.18,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
306,Kudahuvadhoo,MV,82.85,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
308,Port Moresby,PG,79.56,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
309,Kokopo,PG,82.56,few clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
310,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
312,Vanimo,PG,80.38,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
314,Dondo,MZ,70.93,light rain,-19.6094,34.7431,Arco Iris
316,Tateyama,JP,78.15,scattered clouds,34.9833,139.8667,Tateyama Seaside Hotel
328,Ailigandi,PA,79.0,overcast clouds,9.2333,-78.0167,Akwa Reef Lodge
334,Praia,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
338,Havelock,US,74.05,broken clouds,34.8791,-76.9013,Sherwood Motel
340,Samarai,PG,78.84,overcast clouds,-10.6167,150.6667,Nuli Sapi
343,Quelimane,MZ,74.17,clear sky,-17.8786,36.8883,Hotel Flamingo
344,Paciran,ID,78.46,overcast clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
345,Phan Thiet,VN,78.48,overcast clouds,10.9333,108.1,Hotel Saigon-PT
346,Padang,ID,75.38,light rain,-0.9492,100.3543,Mercure Padang
347,Emerald,AU,80.98,clear sky,-23.5333,148.1667,The Irish Village
349,Manavalakurichi,IN,78.89,broken clouds,8.1333,77.3,Udaya Boys Hostel
351,Caravelas,BR,72.72,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
353,Kuala Terengganu,MY,78.44,overcast clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
355,Pemba,MZ,76.15,scattered clouds,-12.974,40.5178,Guesthouse Samotina
358,Camopi,GF,80.29,broken clouds,3.1655,-52.3158,La pousada
359,Axim,GH,76.1,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
360,Kavali,IN,81.45,overcast clouds,14.9167,79.9833,Hotel Mourya Paradise
368,Bundi,IN,78.33,clear sky,25.4417,75.6417,HOTEL BUNDI INN- A Heritage Haveli
372,Bonanza,NI,77.45,broken clouds,14.0289,-84.591,Edificio Administrativo HEMCO
373,Warren,US,79.29,clear sky,39.4334,-84.1666,The Golden Lamb Restaurant & Hotel
376,Sukumo,JP,74.53,light rain,32.9333,132.7333,Sukumojo
377,Hobyo,SO,78.37,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
378,Bambous Virieux,MU,71.22,moderate rain,-20.3428,57.7575,Casa Tia Villa
384,Road Town,VG,82.44,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
386,Manggar,ID,80.33,overcast clouds,-2.8833,108.2667,Guest Hotel
387,Ocampo,MX,78.28,few clouds,21.65,-101.5,Casa de ratas
389,Benemerito De Las Americas,MX,84.81,scattered clouds,16.5167,-90.6439,"Tres Lagunas, Selva Lacandona"
390,Uige,AO,70.16,overcast clouds,-7.6087,15.0613,Hotel Catraio
391,Calama,CL,70.29,clear sky,-22.4667,-68.9333,Diego De Almagro Calama
392,Kulhudhuffushi,MV,82.83,overcast clouds,6.6221,73.07,Hondaafushi Island Resort
393,Deogarh,IN,71.96,broken clouds,21.5333,84.7333,Hotel Mamta Palace
395,Baturaja,ID,75.56,overcast clouds,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
397,Pizarro,CO,77.38,light rain,4.9533,-77.366,Hotel Limonar
398,Gonzalez,US,81.48,clear sky,30.5816,-87.2914,Rv park
403,Pundaguitan,PH,84.07,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
405,Port-Gentil,GA,77.86,overcast clouds,-0.7193,8.7815,Fengshui Residence
409,Kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
410,Spring Hill,US,83.88,clear sky,28.4769,-82.5255,Room of The world By traveline Plus
412,Puerto Colombia,CO,82.49,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
413,Charters Towers,AU,77.61,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
416,Manokwari,ID,81.97,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
417,Mahajanga,MG,71.62,clear sky,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
421,Jacareacanga,BR,81.84,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
422,Mitsamiouli,KM,75.6,scattered clouds,-11.3847,43.2844,Foyer ADM
424,Waingapu,ID,78.64,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
426,Harper,LR,77.86,light rain,4.375,-7.7169,Screensaver
427,Lonavale,IN,73.44,scattered clouds,18.75,73.4167,The Lagoona Resort
428,Auki,SB,79.66,moderate rain,-8.7676,160.7034,Auki Motel
429,Turayf,SA,75.02,clear sky,31.6725,38.6637,Turaif
432,Kroya,ID,78.01,overcast clouds,-7.6331,109.2461,RUSTANTO Fam
436,Madinat Sittah Uktubar,EG,73.56,clear sky,29.8167,31.05,Happy Kennel Academy
437,Moerai,PF,73.85,overcast clouds,-22.4333,-151.3333,Le Manotel
438,Grand Gaube,MU,71.38,heavy intensity rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
440,Karratha,AU,75.52,clear sky,-20.7377,116.8463,ibis Styles Karratha
443,Jega,NG,82.24,overcast clouds,12.2175,4.3792,ALH. Nasiru Ibrahim
447,Natitingou,BJ,75.16,scattered clouds,10.3042,1.3796,Auberge Centrale
451,Carutapera,BR,79.88,scattered clouds,-1.195,-46.02,Lidera
454,Thaton,MM,76.35,overcast clouds,16.9206,97.3714,တိုင်းရင်းဆေး ခရိုင်ဦးစီးဌာနမှူးရုံး
455,Sola,VU,79.9,broken clouds,-13.8833,167.55,Leumerus Bungalows
457,Nago,JP,84.27,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
458,Mlandizi,TZ,70.36,broken clouds,-6.7,38.7333,Amazon Lodge..
459,La Union,PE,73.15,few clouds,-5.4,-80.75,Los Portales
460,Bac Lieu,VN,79.32,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
461,Puerto Del Rosario,ES,73.15,scattered clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
462,Puntarenas,CR,82.33,scattered clouds,9.9763,-84.8384,Michael's Surfside Hotel
473,Rodrigues Alves,BR,83.39,broken clouds,-7.738,-72.6509,Pousada Aconchego
477,Boa Vista,BR,84.18,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
481,Sao Felix Do Xingu,BR,82.45,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
482,Chake Chake,TZ,74.77,scattered clouds,-5.2459,39.7666,Hotel Archipelago
487,Shakawe,BW,73.08,clear sky,-18.3667,21.85,Ditlhapi Guest House
489,Banda Aceh,ID,79.27,scattered clouds,5.5577,95.3222,Sulthan Hotel International
490,Mackay,AU,81.68,scattered clouds,-21.15,149.2,International Lodge Motel
495,Ifo,NG,75.58,light rain,6.8144,3.1958,Footed Hotel and Suites
496,Dicabisagan,PH,76.93,moderate rain,17.0818,122.4157,Nancy Montanes Bernardo
498,Acarau,BR,79.56,clear sky,-2.8856,-40.12,castelo pizzaria
503,San Carlos,VE,76.06,broken clouds,9.6612,-68.5827,Hotel Paternopoli
